file name, size, height, total cost, avg cost
1p, 1, 1, 0, 0
2p, 2, 2, 1, 0
3p, 6, 3, 8, 1
4p, 14, 4, 31, 2
5p, 30, 5, 94, 3
6p, 62, 6, 253, 4
7p, 126, 7, 636, 5
8p, 254, 8, 1531, 6
9p, 510, 9, 3578, 7
10p, 1022, 10, 8185, 8
11p, 2046, 11, 18424, 9
12p, 4094, 12, 40951, 10
1r, 1, 1, 0, 0
2r, 2, 2, 1, 0
3r, 6, 4, 9, 1
4r, 14, 6, 37, 2
5r, 30, 10, 165, 5
6r, 62, 13, 415, 6
7r, 126, 13, 826, 6
8r, 254, 17, 2042, 8
9r, 510, 19, 4740, 9
10r, 1022, 24, 11497, 11
11r, 2046, 23, 25362, 12
12r, 4094, 25, 53318, 13
1l, 1, 1, 0, 0
2l, 2, 2, 1, 0
3l, 6, 6, 15, 2
4l, 14, 14, 91, 6
5l, 30, 30, 435, 14
6l, 62, 62, 1891, 30
7l, 126, 126, 7875, 62
8l, 254, 254, 32131, 126
9l, 510, 510, 129795, 254
10l, 1022, 1022, 521731, 510
11l, 2046, 2046, 2092035, 1022
12l, 4094, 4094, 8378371, 2046
